year	countrycode	eeacellcode	classkey	class	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	classcount
2024	BE	1kmE3953N2985	359	Mammalia	5218786	Procyon lotor	2	8.0	86400	21001
2024	BE	1kmE3953N2986	359	Mammalia	5218786	Procyon lotor	1	31.0	86400	21001
2024	BE	1kmE3953N3000	359	Mammalia	5218786	Procyon lotor	1	31.0	86400	21001
2024	BE	1kmE3953N3007	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3953N3104	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	NL	1kmE3953N3227	359	Mammalia	5218786	Procyon lotor	1	5000.0	86400	21001
2024	BE	1kmE3954N2985	359	Mammalia	5218786	Procyon lotor	2	4.0	86400	21001
2024	BE	1kmE3954N3002	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3954N3040	359	Mammalia	5218786	Procyon lotor	1	22.0	86400	21001
2024	BE	1kmE3954N3047	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3954N3095	359	Mammalia	5218786	Procyon lotor	4	2.0	60	21001
2024	BE	1kmE3954N3120	359	Mammalia	5218786	Procyon lotor	1	7.0	86400	21001
2024	BE	1kmE3955N2979	359	Mammalia	5218786	Procyon lotor	1	297.0	86400	21001
2024	BE	1kmE3955N2981	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3955N2982	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3955N2983	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3955N2985	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3955N3003	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3955N3033	359	Mammalia	5218786	Procyon lotor	1	3.0	86400	21001
2024	BE	1kmE3955N3038	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3955N3043	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3955N3103	359	Mammalia	5218786	Procyon lotor	1	120.0	86400	21001
2024	NL	1kmE3955N3192	359	Mammalia	5218786	Procyon lotor	1	5000.0	86400	21001
2024	BE	1kmE3956N2988	359	Mammalia	5218786	Procyon lotor	1	7.0	86400	21001
2024	BE	1kmE3956N2994	359	Mammalia	5218786	Procyon lotor	1	9.0	86400	21001
2024	BE	1kmE3956N3021	359	Mammalia	5218786	Procyon lotor	1	30.0	86400	21001
2024	BE	1kmE3956N3023	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3956N3025	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3956N3035	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3956N3036	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3956N3038	359	Mammalia	5218786	Procyon lotor	2	8.0	86400	21001
2024	BE	1kmE3956N3039	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3956N3132	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3956N3133	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	NL	1kmE3956N3190	359	Mammalia	5218786	Procyon lotor	1	5000.0	86400	21001
2024	BE	1kmE3957N3024	359	Mammalia	5218786	Procyon lotor	1	53.0	86400	21001
2024	BE	1kmE3957N3031	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3957N3038	359	Mammalia	5218786	Procyon lotor	1	380.0	86400	21001
2024	BE	1kmE3957N3042	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	BE	1kmE3957N3043	359	Mammalia	5218786	Procyon lotor	1	8.0	86400	21001
2024	BE	1kmE3957N3047	359	Mammalia	5218786	Procyon lotor	1	8.0	86400	21001
2024	BE	1kmE3958N2991	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3958N2999	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3958N3000	359	Mammalia	5218786	Procyon lotor	1	122.0	86400	21001
2024	BE	1kmE3958N3019	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3958N3025	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3958N3038	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	FR	1kmE3959N2898	359	Mammalia	5218786	Procyon lotor	1	10.0	60	21001
2024	BE	1kmE3959N2982	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3959N2991	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3959N2998	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3959N3008	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3959N3013	359	Mammalia	5218786	Procyon lotor	2	4.0	86400	21001
2024	BE	1kmE3959N3029	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
